actualTime;quantity
7.56578;818
7.57279;819
7.57648;820
7.5833;821
7.58528;822
7.5941;823
7.59427;824
7.59876;825
7.60272;826
7.60816;827
7.61171;828
7.62176;829
7.62406;830
7.63406;831
7.63538;832
7.63722;833
7.63743;834
7.64062;835
7.64938;836
7.65154;837
7.65884;838
7.66352;839
7.66597;840
7.66764;841
7.67713;842
7.68731;843
7.69749;844
7.69911;845
7.70903;846
7.71328;847
7.71408;848
7.71835;849
7.72015;850
7.72221;851
7.72356;852
7.72501;853
7.72546;854
7.7263;855
7.72983;856
7.73049;857
7.7311;858
7.73539;859
7.73705;860
7.73723;861
7.74317;862
7.74449;863
7.74513;864
7.7453;865
7.74777;866
7.74837;867
7.75561;868
7.75727;869
7.75874;870
7.75915;871
7.75979;872
7.7634;873
7.76498;874
7.76517;875
7.76533;876
7.7661;877
7.76859;878
7.77234;879
7.7796;880
7.781;881
7.78309;882
7.78329;883
7.79648;884
7.79857;885
7.80824;886
7.81283;887
7.81935;888
7.82387;889
7.82403;890
7.825;891
7.82566;892
7.82991;893
7.83072;894
7.83104;895
7.83438;896
7.83566;897
7.84041;898
7.84237;899
7.84321;900
7.8434;901
7.8436;902
7.84382;903
7.84402;904
7.85197;905
7.85533;906
7.86714;907
7.87964;908
7.87998;909
7.88106;910
7.88667;911
7.88819;912
7.89033;913
7.89196;914
7.89305;915
7.91329;916
7.91455;917
7.91568;918
7.92549;919
7.92853;920
7.92872;921
7.92893;922
7.933;923
7.93621;924
7.94664;925
7.94706;926
7.95666;927
7.9727;928
7.97414;929
7.97517;930
7.97674;931
7.98032;932
7.98309;933
7.98649;934
7.99506;935
7.99655;936
7.99881;937
8.00478;938
8.01058;939
8.01182;940
8.01569;941
8.01783;942
8.01881;943
8.01961;944
8.0198;945
8.02233;946
8.02953;947
8.03138;948
8.0325;949
8.03313;950
8.03627;951
8.03825;952
8.04174;953
8.04821;954
8.05173;955
8.05191;956
8.05351;957
8.06919;958
8.07259;959
8.07697;960
8.0806;961
8.08376;962
8.08716;963
8.08746;964
8.09607;965
8.0982;966
8.09839;967
8.10033;968
8.10059;969
8.11211;970
8.11246;971
8.11755;972
8.1186;973
8.1216;974
8.12337;975
8.12584;976
8.12778;977
8.12871;978
8.13094;979
8.13319;980
8.13336;981
8.13533;982
8.13753;983
8.1377;984
8.143;985
8.14384;986
8.14741;987
8.15198;988
8.15229;989
8.15353;990
8.16043;991
8.16711;992
8.1699;993
8.17185;994
8.17555;995
8.1766;996
8.1793;997
8.18583;998
8.18667;999
8.1877;1000
8.20494;1001
8.20927;1002
8.21521;1003
8.21547;1004
8.21633;1005
8.21976;1006
8.2267;1007
8.22941;1008
8.23557;1009
8.23582;1010
8.23964;1011
8.24104;1012
8.25103;1013
8.25166;1014
8.26344;1015
8.26606;1016
8.2664;1017
8.2707;1018
8.27851;1019
8.29402;1020
8.29567;1021
8.29829;1022
8.3155;1023
8.32551;1024
8.32829;1025
8.33022;1026
8.33612;1027
8.33732;1028
8.34072;1029
8.34158;1030
8.34893;1031
8.34928;1032
8.35158;1033
8.355;1034
8.3565;1035
8.35769;1036
8.36889;1037
8.37431;1038
8.37563;1039
8.38036;1040
8.38762;1041
8.39276;1042
8.39378;1043
8.39571;1044
8.39606;1045
8.39715;1046
8.39948;1047
8.39978;1048
8.40299;1049
8.40508;1050
8.41194;1051
8.41457;1052
8.41692;1053
8.42213;1054
8.42432;1055
8.43479;1056
